"","Advertiser_Name","Party","Election","Region","Advertiser.Type"
"1","DONALD J TRUMP FOR PRESIDENT INC","R","","","candidate"
"2","HELLER FOR SENATE","R","S","nevada","candidate"
"3","YES ON E SAN FRANCISCANS FOR THE ARTS","","","","PAC"
"4","COMMITTEE TO ELECT RICHARD OJEDA","D","S","westvirginia","candidate"
"5","WICKER FOR SENATE","R","S","mississippi","candidate"
"6","JOSH HARDER FOR CONGRESS","D","C","california","candidate"
"7","Need to Impeach","","","","PAC"
"8","FRIENDS OF DAN FEEHAN","D","C","minnesota","candidate"
"9","JOE WILSON FOR CONGRESS","R","C","southcarolina","candidate"
"10","KIRKPATRICK FOR CONGRESS","D","C","arizona","candidate"
"11","MCCASKILL FOR MISSOURI","D","S","missouri","candidate"
"12","AMERICAN PATRIOTS PAC","R","","","PAC"
"13","NRCC","R","C","","candidate"
"14","RESTORE OUR HEALTHCARE INC","R","","","superPAC"
"15","HOTEL WORKERS FOR STRONGER COMMUNITIES","","","","PAC"
"16","FRIENDS OF SUSAN BROOKS","R","C","indiana","candidate"
"17","AMERICAN POTENTIAL","R","","","PAC"
"18","RESTORATION PAC","R","","","PAC"
"19","NARAL PROCHOICE AMERICA","","","","PAC"
"20","LORIE ZAPF FOR COUNCIL ","R","other","","candidate"
"21","WITH HONOR FUND INC","","","","PAC"
"22","MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE","D","","michigan","PAC"
"23","HUIZENGA FOR CONGRESS","R","C","michigan","candidate"
"24","NRSC","R","S","","PAC"
"25","DEFENDARIZONA","R","","arizona","PAC"
"26","JOHN KINGSTON FOR SENATE INC","R","S","massachusetts","candidate"
"27","CLEARPATH ACTION INC","","","","PAC"
"28","COMMITTEE TO ELECT ROB DAVIDSON","D","C","michigan","candidate"
"29","ROSKAM FOR CONGRESS COMMITTEE","R","C","illinois","candidate"
"30","NATIONAL HORIZON","R","","","PAC"
"31","THE AMERICAN CONGRESS OF OBGYNS PAC OBGYN PAC","","","","PAC"
"32","SENATE LEADERSHIP FUND","R","S","","PAC"
"33","ELECTRIC SYMPHONY LLC","","","","agency"
"34","DR JIM MAXWELL FOR CONGRESS","R","C","newyork","candidate"
"35","HEIDI FOR SENATE","D","S","northdakota","candidate"
"36","GIFFORDS PAC","","","","PAC"
"37","FRIENDS OF DAVE BRAT INC","R","C","virginia","candidate"
"38","DCCC","D","C","","party"
"39","CFG ACTION WISCONSIN","R","S","","superPAC"
"40","MIKE GALLAGHER FOR WISCONSIN","R","C","wisconsin","candidate"
"41","INDEPENDENCE USA PAC","","","","PAC"
"42","RANDY HULTGREN FOR CONGRESS","R","C","illinois","candidate"
"43","AMERICAN POTENTIAL PAC","","","","PAC"
"44","COMSTOCK FOR CONGRESS","R","C","virginia","candidate"
"45","NEW YORK STATE DEMOCRATIC COMMITTEE","D","","newyork","party"
"46","AMERICANS FOR PROSPERITY","R","","","PAC"
"47","LGBTQ VICTORY FUND FEDERAL PAC","","","","PAC"
"48","BOUNCE EXCHANGE INC","","","","agency"
"49","BILL NELSON FOR U S SENATE","D","S","florida","candidate"
"50","CARPER FOR SENATE","","S","delaware","candidate"
"51","ONE NATION","","","","PAC"
"52","PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC","R","","","PAC"
"53","MINNESOTA DEMOCRATICFARMERLABOR PARTY","D","","","PAC"
"54","BREDESEN FOR SENATE","D","S","tennessee","candidate"
"55","BORICUA VOTA INC","","","","PAC"
"56","SUSAN MORAN PALMER FOR CONGRESS","D","C","ohio","candidate"
"57","PRIORITIES USA ACTION  SMP","D","","","superPAC"
